SEARCH:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM NO.,CATEGORY,SECTION,LOCATION,CURRENT STATUS,PARTICULARS,SYSTEM,EQUIPMENT,RS NUMBER,DATE RS SENT,QUOTATION STATUS,BRF NO.,AMOUNT,DATE UPLOADED,BRF STATUS,DATE APPROVED,PR NO.,DATE SENT,PR STATUS,DATE APPROVED,DATE UPLOADED TO SHARE POINT,DATE OF TECHNICAL EVALUATION SENT,PO NO.,DATE APPROVED,PO/WO STATUS,SUPPLIER,DELIVERY STATUS,DATE UPLOADED TO SHAREPOINT (RFP),RELEASED DATE,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR RFP,Supply of Critical Parts for Excavator Heavy Equipment at DPTPP - Narra,Heavy Equipment,Excavator ,DPC-MAINT-RS-2025-ME-M39,"May 19, 2025",,BRF-PAL-2025-01410,For Final Bidding,"June 4, 2025",APPROVED FOR PAYMENT,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.R,Supply of Urgent Parts of Wheel Loader at DPTPP-Narra,Heavy Equipment,Wheel Loader 1,DPC-MAINT-RS-2025-ME-M46,"June 25, 2025",,BRF-PAL-2025-01416,For Final Bidding,"June 8, 2025",APPROVED FOR PAYMENT,"June 20, 2025",,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare parts of Water Treatment Pump Mechanical Seal DPTPP - Narra,Water Treatment System,Water Treatment Pumps,DPC-MAINT-RS-2025-ME-M45,,,BRF-PAL-2025-01373,"₱273,589.10",,APPROVED,"June 18,2025",PR009120,,APPROVED,"June 24,2025","June 24,2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Urgent parts Bearing for Circulating Water Pump at DPTPP,Circulating Water System,Circulating Water Pump,DPC-MAINT-RS-2025-ME-M17,,,BRF-PAL-2025-01267,"₱125,112.00","March 17, 2025",APPROVED,"March 30, 2025",PR008969,"April 2, 2025",APPROVED,"April 3, 2025","April 3, 2025",,"PO-008318
PO-008319",,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Membranes for Secondary R.O System of DPTPP - Narra,Water Treatment System,Secondary R.O. Device A,DPC-MAINT-RS-2024-ME-M0052,,Served,BRF-PAL-2024-00983,"₱797,226.69","October 11, 2024",APPROVED,"October 24, 2024",PR008947,"March 19, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Submersible pump for the immediate dredging of sea water intake pond at DPTPP-Narra,Circulating Water System,Water Intake,DPC-MAINT-RS-2024-ME-M0022,,,BRF-PAL-2024-00809,"₱332,236.16","July 9, 2024",APPROVED,"July 23, 2024",PR008951,"March 19, 2025",APPROVED,"March 25, 2025","March 25, 2025","May 21, 2025",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Urgent PMS Hydraulic Filters for Heavy equipment at DPTPP-Narra,Heavy Equipment,,DPC-MAINT-RS-2025-ME-M19,,,,,,,,PR008955,"March 20, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,"Supply of Critical Parts for Circulating Water Pump A, B AND C at DPTPP-Narra",Circulating Water System,Circulating Water Pump,DPC-MAINT-RS-2025-ME-M23,,,,"₱5,276,192.06
",,,,PR008972,"April 2, 2025",APPROVED,"April 3, 2025","April 3, 2025",,"FPO-000188
FPO-000192",,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Regular PMS Filter Bags for Limestone and Ash Handling Systems at DPTPP-Narra,Ash Handling Systems ,,DPC-MAINT-RS-2025-ME-M29,,,,,,,,PR008989,"April 8, 2025",APPROVED,"April 10, 2025","April 10, 2025","May 15, 2025",FPO-000204,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Regular PMS Filter Cartridge Element for Coal Handling System at DPTPP-Narra,Coal Handling System,Dust Collector ,DPC-MAINT-RS-2025-ME-M30,,,,,,,,PR008991,"April 8, 2025",APPROVED,"April 10, 2025","April 10, 2025","June 10, 2025",,,,,,,,
,,Mechanical,DPTPP - Narra 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Critical Spares of Circulating Water Pump B and Cooling Pump Sleeve at DPTPP,Circulating Water System,Circulating Water Pump,DPC-MAINT-RS-2025-ME-M32,,,,,,,,PR008994,"April 15, 2025",APPROVED,"April 25, 2025","April 25, 2025",June 3,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Critical Spare parts of Limestone Feeding System DPTPP - Narra,Limestone Handling System,Star Feeder/Limestone Feeder,DPC-MAINT-RS-2025-ME-M33,,,BRF-PAL-2025-01320,"₱144,894.05",,APPROVED,"May 9, 2025",PR009054,"May 16,2025",APPROVED,"May 20,2025","May 20,2025","June 10, 2025",,,,,,,,
,OTHERS,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Specialized Tools and Consumables for Plasma Cutting Machine at DPTPP - Narra,Miscellaneous,Tools,DPC-MAINT-RS-2025-ME-M28,,,BRF-PAL-2025-01322,"₱127,050.00",,APPROVED,"May 9, 2025",PR009055,"May 16,2025",APPROVED,"May 20,2025","May 20,2025","July 9, 2025",,,,,,,,
,OTHERS,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Specialized Tools and Consumables for TIG Welding at DPTPP - Narra,Miscellaneous,Tools,DPC-MAINT-RS-2025-ME-M22,,,BRF-PAL-2025-01324,"₱291,725.43",,APPROVED,"May 9, 2025",PR009058,"May 16,2025",APPROVED,"May 20,2025","May 20,2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.O,Supply of Critical Spare parts of Water Treatment Diaphragm coupling DPTPP - Narra,Water Treatment System,Water Treatment Pumps,DPC-MAINT-RS-2025-ME-M07,,,BRF-PAL-2025-01325,"₱208,398.94",,APPROVED,"May 9, 2025",PR009056,"May 16,2025",APPROVED,"May 20,2025","May 20,2025","June 11, 2025",,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.R,Supply of Urgent Replacement parts (HARMONIC BALANCER CRANKSHAFT PULLEY) for Excavator at DPTPP - Narra,Heavy Equipment,Excavator 1,DPC-MAINT-RS-2025-ME-M34,,,BRF-PAL-2025-01326,"₱32,400.00",,APPROVED FOR PAYMENT,"May 9, 2025",,,,,,,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Regular Low Temperature Filters for Steam Water Analysis Sampling System (SWASS) at DPTPP-Narra,Steam Water Analysis Sampling System,,DPC-MAINT-RS-2025-ME-M35,,,,,,,"April 24, 2025",PR009002,"April 23, 2025",APPROVED,"May 14,2025","May 14,2025","June 25, 2025",FPO-000214,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.R,"Supply of Urgent Replacement Tire Set for Loader at DPTPP - Narra
",Heavy Equipment, Loader,DPC-MAINT-RS-2025-ME-M38,,,BRF-PAL-2025-01344,"₱105,150.00",,APPROVED FOR PAYMENT,"May 9, 2025",,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply  of Critical Electrodeionization (EDI) Spare Unit at Water Treatment Plant of DPTPP - signed,Water Treatment System,EDI,DPC-MAINT-RS-2025-ME-M36,,,BRF-PAL-2025-01365,,,APPROVED,"May 29, 2025",PR009086,"May 29,2025",APPROVED,"June 3,2025","June 3,2025",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment of Activated Carbon Filter Media for DPTPP Water Treatment Plant,Water Treatment System, Activated Carbon Filter ,DPC-MAINT-RS-2025-ME-M38,,,BRF-PAL-2024-00707,,,APPROVED,"May 29, 2025",PR009088,"May 29,2025",APPROVED,"June 3,2025","June 3,2025",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR P.R,Supply of Supplemental Replacement Parts for DT75 Major Overhaul  and Supply of Labor for Overhauling of Cylinder Head– DPTPP-Narra,Heavy Equipment,Dump Truck MDT-75,DPC-MAINT-RS-2025-ME-M31,,,BRF-PAL-2025-01368,"₱85,160.00",,APPROVED FOR PAYMENT,"June 4, 2025",,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR BRF ROUTING,Replenishment of Slag Cooler Braided Flexible Hose for Condensate water recovery Line at DPTPP Narra,,,DPC-MAINT-RS-2025-ME-M40,,,BRF-PAL-2025-01370,,,FOR APPROVAL,,,,,,,,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR P.O,"Replenishment Dosing Chemicals for DPTPP Water Treatment Plant - Narra
",,,DPC-MAINT-RS-2025-ME-M48,,,,,,,,PR009070,,APPROVED,"June 5,2025","June 9,2025","June 27,2025",,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Regular Replacement PMS Filters for 2nd Quarter of 2025 at DPTPP Water Treatment Plant,,,DPC-MAINT-RS-2025-ME-M08,,,,,,,,PR008853,,APPROVED,"February 26, 2025","February 27, 2025",,FPO-000200,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,"Replenishment of PMS Filters for Regular Replacement at BSDG, DPTPP-Narra",,,DPC-MAINT-RS-2025-ME-M09,,,,,,,,PR008855,,APPROVED,"February 26, 2025","February 27, 2025","March 28, 2025",FPO-000203,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Regular Replacement of Screw Air Compressor Air Filters for DPTPP for 2025 2nd Quarter,,,DPC-MAINT-RS-2025-ME-M10,,,,,,,,PR008860,,APPROVED,"February 26, 2025","February 27, 2025","March 19, 2025",PO-008334,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Regular Replacement of Screw Air Compressor Air Filters for DPTPP for 2025 1st Quarter,,,DPC-MAINT-RS-2024-ME-M0087,,,,,,,,PR008744,"December 10, 2024",APPROVED,"December 11, 2024","December 11, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Piping Materials for Water Treatment System at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0061,,,BRF-PAL-2024-01130,"₱161,418.60","December 15, 2024",APPROVED,"January 21, 2025",PR008818,"January 24, 2025",APPROVED,"February 12, 2025","February 12, 2025",,"FPO-000183
",,,,,,,
,OTHERS,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply Of Materials For Mechanical Routinary Activities And Shutdown Activities At Dptpp-narra,,,DPC-MAINT-RSLP-2024-ME-M004,,,BRF-PAL-2024-01131,"₱98,524.00","December 15, 2024",APPROVED FOR PAYMENT,"December 18, 2024",,,,,,,,,,,,"December 18, 2024","January 18, 2025",
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of Urgent Repair Materials of leaking Condenser Outlet pipe at DPTPP-Narra,,,DPC-MAINT-RSLP-2024-ME-M005,,,BRF-PAL-2024-01132,"₱131,700.00","December 15, 2024",APPROVED FOR PAYMENT,"December 18, 2024",,,,,,,,,,,,"December 18, 2024","January 18, 2025",
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of urgent Materials for the replacement of ESP to Chimney Cladding at DPTPP-Narra,,,DPC-MAINT-RSLP-2024-ME-M089,,,BRF-PAL-2024-01135,"₱96,360.00","December 17, 2024",APPROVED FOR PAYMENT,"January 21, 2025",,,,,,,,,,,,"January 21, 2025",,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of urgent repair materials for damaged conveyor belt and leaking limestone hopper cover at DPTPP Narra,,,DPC-MAINT-RS-2024-ME-M0092,,,BRF-PAL-2024-01143,"₱56,728.00","January 2, 2025",APPROVED FOR PAYMENT,,,,,,,,,,,,,"January 6, 2025","January 9, 2025",
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply of urgent Materials for the Turbine PMS at DPTPP Narra,,,DPC-MAINT-RS-2025-ME-M01,,,BRF-PAL-2025-01146,"₱10,320.00","January 2, 2025",APPROVED FOR PAYMENT,,,,,,,,,,,,,"January 6, 2025","January 9, 2025",
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of urgent Replacement parts for Loader at DPTPP Narra,,,DPC-MAINT-RSLP-2025-ME-M01,,,BRF-PAL-2025-01159,"₱83,900.00",,APPROVED FOR PAYMENT,"January 21, 2025",,,,,,,,,,,,"January 21, 2025",,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Replacement of tire interior for the borrowed dump truck ash hauling at Narra,,,,,,,"₱10,000.00",,APPROVED,,,,,,,,,,,,,,"January 9, 2025",
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR P.R,Supply of Additional Oxygen & Acetylene Tanks for Bunker & Diesel Plants of DPC Palawan,,,PLD-LP-2024-558,,,BRF-PAL-2025-01162,"₱19,800.00",,APPROVED FOR PAYMENT,"January 21, 2025",,,,,,,,,,,,,,
,ANNUAL PMS,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Request for additional urgent materials as for the Valve Calibration & Turbine Crack Testing at DPTPP PMS,,,DPC-MAINT-RS-2025-ME-M02,,,BRF-PAL-2025-01166,"₱45,020.00",,APPROVED FOR PAYMENT,,,,,,,,,,,,,"January 20, 2025","January 18, 2025",
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR P.R,Supply of Critical Spare Parts for Water Treatment Dosing Unit at DPTPP -  Narra,,,DPC-MAINT-RS-2024-ME-M0034,,,BRF-PAL-2025-01170,"₱125,393.00",,APPROVED,"February 28, 2025",,,,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,AWAITING BUDGET,Supply of urgent replacement parts for the bunker hoist wire rope at DPTPP-Narra.,,,DPC-MAINT-RS-2024-ME-M0051,,,BRF-PAL-2025-01201,"₱48,000.00",,APPROVED FOR PAYMENT,,,,,,,,,,,,,"February 13, 2025",,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Urgent replacement parts for Wheel Loader and Dump truck at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0048,,,BRF-PAL-2024-01021,"₱67,000.00","October 29, 2024",APPROVED FOR PAYMENT,"November 8, 2024",PR008676,"November 14, 2024",APPROVED,"November 14, 2024",,,"PO-008139
PO-008140",,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical parts intended for Condenser inlet and outlet pipe for PMS at DPTPP,,,DPC-MAINT-RS-2024-ME-M0060,,,BRF-PAL-2024-01022,"₱830,301.20","October 29, 2024",APPROVED,"March 20, 2025",PR008957,"March 21, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of critical spare parts for Circulating water pump rubber expansion joint and Slag cooler mechanical seal at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0065,,,BRF-PAL-2024-01024,"₱146,885.96",,APPROVED,"March 20, 2025",PR008956,"March 20, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Ready stock of shell T46 for turbine oil system during first Thermal PMS DPTPP-Narra ,,,DPC-MAINT-RS-2024-ME-M0074,,,,,,APPROVED,,PR008667,"November 9, 2024",APPROVED,"November 14, 2024","November 14, 2024",,PO-008132,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of oil replenishment for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0075,,,,,,APPROVED,,PR008668,"November 9, 2024",APPROVED,"November 14, 2024","November 14, 2024",,PO-008137,,APPROVED,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Hydraulic oil 68 replenishment for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0076,,,,,,APPROVED,,PR008677,"November 15, 2024",APPROVED,"November 18, 2024","November 18, 2024",,PO-008046,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment PMS parts for Portable Air Compressor at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0081,,,,,,PENDING,,PR008704,"November 26, 2024",APPROVED,"November 27, 2024","November 28, 2024",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment of Gear oil 80w-90 for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0082,,,,,,PENDING,,PR008706,"November 26, 2024",APPROVED,"November 27, 2024","November 28, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of urgent replacement belt for biomass handling system at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0078,,,,,,PENDING,,PR008712,"November 27, 2024",APPROVED,"December 3, 2024","December 3, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Parts for Electro Chlorination system at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME- M0058,,,BRF-PAL-2024-01098,"₱431,685.08",,APPROVED,"December 10, 2024",PR008747,"December 11, 2024",APPROVED,"December 16, 2024","December 16, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR REVISION,Supply of Critical Parts for Compressed Air Dryer at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0023,,,BRF-PAL-2024-01099,"₱872,200.86",,CANCELLED,,,,CANCELLED,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare Parts for Limestone and Ash handling System at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0038,,,BRF-PAL-2024-01100,"₱300,885.44",,APPROVED,"December 20, 2024",PR008763,"December 23, 2024",APPROVED,"January 6, 2025","January 6, 2025",,"FPO-000181
FPO-000182
",,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Parts for Boiler Dosing Unit at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0033,,,BRF-PAL-2024-01113,"₱167,891.94",,APPROVED,"December 10, 2024",PR008749,"December 11, 2024",APPROVED,"December 16, 2024","December 16, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Parts for Ash handling System at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0036,,,BRF-PAL-2024-01118,"₱320,705.00",,APPROVED,"December 20, 2024",PR008764,"December 23, 2024",APPROVED,"January 6, 2025","January 6, 2025",,"FPO-000177
FPO-000178
FPO-000179",,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical parts for Closed Cooling Pump at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0072,,,BRF-PAL-2024-01117,"₱542,919.04",,APPROVED,,PR008809,"January 21, 2025",APPROVED,"January 27, 2025","January 27, 2025",,FPO-000187,,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Replacement Parts for Compressed Air Filters at DPTPP-Narra                ,,,DPC-MAINT-RS-2024-ME-M0085,,,,,,,,PR008742,"December 10, 2024",APPROVED,"December 11, 2024","December 11, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Urgent replacement parts for Wheel Loader and Dump truck at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0048,,,BRF-PAL-2024-01021,"₱67,000.00",,APPROVED FOR PAYMENT,"November 8, 2024",PR008676,"November 14, 2024",APPROVED,"November 14, 2024",,"November 18, 2024","PO-008139
PO-008140",,APPROVED,,PARTIAL,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical parts intended for Condenser inlet and outlet pipe for PMS at DPTPP,,,DPC-MAINT-RS-2024-ME-M0060,,,BRF-PAL-2024-01022,"₱830,301.20",,APPROVED,"March 20, 2025",PR008957,"March 21, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of critical spare parts for Circulating water pump rubber expansion joint and Slag cooler mechanical seal at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0065,,,BRF-PAL-2024-01024,"₱146,885.96",,APPROVED,"March 20, 2025",PR008956,"March 20, 2025",APPROVED,"March 25, 2025","March 25, 2025",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Ready stock of shell T46 for turbine oil system during first Thermal PMS DPTPP-Narra ,,,DPC-MAINT-RS-2024-ME-M0074,,,,,,APPROVED,,PR008667,"November 9, 2024",APPROVED,"November 14, 2024","November 14, 2024",,PO-008132,,APPROVED,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of oil replenishment for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0075,,,,,,APPROVED,,PR008668,"November 9, 2024",APPROVED,"November 14, 2024","November 14, 2024",,PO-008137,,APPROVED,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Hydraulic oil 68 replenishment for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0076,,,,,,APPROVED,,PR008677,"November 15, 2024",APPROVED,"November 18, 2024","November 18, 2024",,PO-008046,,APPROVED,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Replenishment PMS parts for Portable Air Compressor at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0081,,,,,,PENDING,,PR008704,"November 26, 2024",APPROVED,"November 27, 2024","November 28, 2024",,,,,,,,,
,REGULAR PMS CONSUMABLES,Mechanical,DPTPP - Narra 1,FOR P.O,Replenishment of Gear oil 80w-90 for the preventive maintenance schedule (PMS) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0082,,,,,,PENDING,,PR008706,"November 26, 2024",APPROVED,"November 27, 2024","November 28, 2024",3/20/2025,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of urgent replacement belt for biomass handling system at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0078,,,,,,PENDING,,PR008712,"November 27, 2024",APPROVED,"December 3, 2024","December 3, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Spare Parts for Electro Chlorination system at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME- M0058,,,BRF-PAL-2024-01098,"₱431,685.08",,APPROVED,"December 10, 2024",PR008747,"December 11, 2024",APPROVED,"December 16, 2024","December 16, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR REVISION,Supply of Critical Parts for Compressed Air Dryer at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0023,,,BRF-PAL-2024-01099,"₱872,200.86",,CANCELLED,,,,CANCELLED,,,,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Spare Parts for Limestone and Ash handling System at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0038,,,BRF-PAL-2024-01100,"₱300,885.44",,APPROVED,"December 20, 2024",PR008763,"December 23, 2024",APPROVED,"January 6, 2025","January 6, 2025",,"FPO-000181
FPO-000182
",,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR TECHNICAL EVALUATION,Supply of Critical Parts for Boiler Dosing Unit at DPTPP - Narra,,,DPC-MAINT-RS-2024-ME-M0033,,,BRF-PAL-2024-01113,"₱167,891.94",,APPROVED,"December 10, 2024",PR008749,"December 11, 2024",APPROVED,"December 16, 2024","December 16, 2024",,,,,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical Parts for Ash handling System at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0036,,,BRF-PAL-2024-01118,"₱320,705.00",,APPROVED,"December 20, 2024",PR008764,"December 23, 2024",APPROVED,"January 6, 2025","January 6, 2025",,"FPO-000177
FPO-000178
FPO-000179",,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR DELIVERY,Supply of Critical parts for Closed Cooling Pump at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0072,,,BRF-PAL-2024-01117,"₱542,919.04",,APPROVED,,PR008809,"January 21, 2025",APPROVED,"January 27, 2025","January 27, 2025",,FPO-000187,,APPROVED,,,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR FOLLOW UP,Supply of Replacement parts for the major overhaul of Dump Truck 75 (DT75) at DPTPP-Narra,,,DPC-MAINT-RS-2024-ME-M0062,,,BRF-PAL-2024-00989,"₱210,090.00",,APPROVED,"November 25, 2024",PR008718,"November 28, 2024",APPROVED,"December 3, 2024","December 3, 2024",,PO-008105,,APPROVED,,PARTIAL,,,
,CRITICAL/SAFETY SPARES,Mechanical,DPTPP - Narra 1,FOR PURCHASE AND LIQUIDATION,Supply Of Urgent Repair Materials Of Leaking Condenser Inlet Pipe At Dptpp - Narra Part 2,,,DPC-MAINT-RS-2024-ME-M0067,,,BRF-PAL-2024-00988,"₱60,000.00",,APPROVED FOR PAYMENT,,,,,,,,,,APPROVED FOR PAYMENT,,RELEASED,"October 10, 2024","October 24, 2024",
